,location,bath,size_new,sqft
0,Electronic City Phase II,2.0,2,1056.0
1,Chikka Tirupathi,5.0,4,2600.0
2,Uttarahalli,2.0,3,1440.0
3,Lingadheeranahalli,3.0,3,1521.0
4,Kothanur,2.0,2,1200.0
5,Whitefield,2.0,2,1170.0
6,Old Airport Road,4.0,4,2732.0
7,Rajaji Nagar,4.0,4,3300.0
8,Marathahalli,3.0,3,1310.0
10,Whitefield,2.0,3,1800.0
11,Whitefield,5.0,4,2785.0
12,7th Phase JP Nagar,2.0,2,1000.0
13,Gottigere,2.0,2,1100.0
14,Sarjapur,3.0,3,2250.0
15,Mysore Road,2.0,2,1175.0
16,Bisuvanahalli,3.0,3,1180.0
17,Raja Rajeshwari Nagar,3.0,3,1540.0
18,other,4.0,3,2770.0
19,other,2.0,2,1100.0
20,Kengeri,1.0,1,600.0
21,Binny Pete,3.0,3,1755.0
22,Thanisandra,5.0,4,2800.0
23,Bellandur,3.0,3,1767.0
24,Thanisandra,1.0,1,510.0
25,other,3.0,3,1250.0
26,Electronic City,1.0,2,660.0
27,Whitefield,3.0,3,1610.0
28,Ramagondanahalli,2.0,2,1151.0
29,Electronic City,2.0,3,1025.0
30,Yelahanka,4.0,4,2475.0
31,Bisuvanahalli,2.0,3,1075.0
32,Hebbal,2.0,3,1760.0
33,Raja Rajeshwari Nagar,3.0,3,1693.0
34,Kasturi Nagar,3.0,3,1925.0
35,Kanakpura Road,2.0,2,700.0
36,Electronics City Phase 1,2.0,2,1070.0
37,Kundalahalli,3.0,3,1724.0
38,Chikkalasandra,2.0,3,1290.0
39,Uttarahalli,2.0,2,1143.0
40,Murugeshpalya,2.0,2,1296.0
41,Sarjapur  Road,3.0,3,1254.0
42,other,1.0,1,600.0
43,Yelahanka,1.0,1,660.0
44,Kanakpura Road,2.0,2,1330.74
46,Doddathoguru,2.0,2,970.0
47,Whitefield,2.0,2,1459.0
48,KR Puram,1.0,2,800.0
49,other,2.0,2,869.0
50,other,2.0,2,1270.0
51,Bhoganhalli,3.0,3,1670.0
52,Whitefield,3.0,3,2010.0
53,Lakshminarayana Pura,2.0,2,1185.0
54,Yelahanka,2.0,3,1600.0
55,Begur Road,2.0,2,1200.0
56,other,2.0,2,1500.0
58,other,2.0,2,840.0
59,other,3.0,3,4395.0
60,other,2.0,2,845.0
61,Whitefield,5.0,4,5700.0
62,Varthur,2.0,2,1160.0
63,Bommanahalli,8.0,8,3000.0
64,Doddathoguru,2.0,2,1100.0
65,Gunjur,2.0,2,1140.0
66,Marathahalli,2.0,2,1220.0
68,Kanakpura Road,2.0,2,1005.0
70,Begur Road,2.0,2,1358.0
71,Hegde Nagar,3.0,3,1569.0
72,Haralur Road,2.0,2,1240.0
73,Hennur Road,3.0,3,2089.0
74,Kothannur,2.0,2,1206.0
75,Kalena Agrahara,2.0,2,1150.0
76,other,3.0,3,2511.0
78,ISRO Layout,6.0,6,4400.0
79,other,2.0,3,1660.0
80,Yelahanka,2.0,2,1326.0
81,Garudachar Palya,2.0,3,1325.0
82,EPIP Zone,5.0,3,1499.0
83,Hegde Nagar,7.0,6,3000.0
84,Kanakpura Road,3.0,3,1665.0
85,Dasanapura,2.0,2,708.0
86,Kasavanhalli,2.0,2,1060.0
88,Sanjay nagar,2.0,2,1000.0
89,Electronic City,2.0,2,1000.0
90,other,2.0,3,1450.0
91,ISRO Layout,4.0,4,1200.0
92,Thanisandra,2.0,2,1296.0
93,Domlur,3.0,3,1540.0
94,Kengeri,4.0,4,2894.0
95,Sarjapura - Attibele Road,2.0,3,1330.0
96,other,2.0,2,1200.0
97,other,3.0,3,1200.0
98,Yeshwanthpur,3.0,3,2502.0
99,Chandapura,1.0,2,650.0
100,Kothanur,2.0,3,2400.0
101,other,2.0,2,1007.0
102,other,2.0,2,1200.0
103,other,2.0,2,966.0
104,Nagarbhavi,2.0,3,1630.0
105,Rajaji Nagar,3.0,3,1640.0
106,other,2.0,2,782.0
107,Devanahalli,2.0,2,1260.0
108,other,3.0,3,1800.0
109,other,2.0,3,1413.0
110,Whitefield,2.0,2,1116.0
111,Electronic City,2.0,3,1530.0
112,Ramamurthy Nagar,4.0,4,3700.0
113,Sarjapur  Road,3.0,3,2497.0
114,Kengeri,2.0,3,1540.0
115,Thanisandra,3.0,3,1436.0
116,Malleshwaram,2.0,2,1100.0
118,Thanisandra,3.0,3,1427.0
119,Akshaya Nagar,3.0,3,2061.0
120,Hebbal,4.0,4,5611.5
121,Shampura,4.0,4,2650.0
122,Devanahalli,2.0,3,1282.0
123,Kadugodi,2.0,2,1050.0
124,LB Shastri Nagar,3.0,3,1600.0
125,other,2.0,2,945.0
126,Hormavu,2.0,2,1500.0
128,other,3.0,3,1870.0
129,Sarjapur,3.0,3,1600.0
130,Electronic City,1.0,2,880.0
131,other,4.0,4,1200.0
132,Kudlu Gate,3.0,3,1535.0
133,Kanakpura Road,2.0,2,950.0
134,Devanahalli,2.0,2,1360.0
135,8th Phase JP Nagar,2.0,2,1073.5
136,Bommasandra Industrial Area,3.0,3,1280.0
137,other,2.0,3,1260.0
138,Hennur Road,8.0,8,5000.0
139,Yelahanka,5.0,5,3050.0
140,Kasavanhalli,3.0,3,1563.05
141,ISRO Layout,2.0,2,1000.0
142,Anandapura,2.0,2,1167.0
143,Vishveshwarya Layout,7.0,7,4000.0
144,Kothanur,3.0,3,1828.0
145,Kengeri Satellite Town,2.0,2,890.0
146,other,3.0,3,1612.0
148,Mysore Road,4.0,3,1710.0
149,Kannamangala,2.0,2,957.0
150,Devarachikkanahalli,2.0,3,1250.0
151,other,4.0,3,2795.0
152,Hulimavu,2.0,2,1125.0
153,Electronic City Phase II,2.0,2,1020.0
154,Kalena Agrahara,2.0,2,1200.0
155,Thanisandra,3.0,3,1735.0
156,Thanisandra,3.0,3,2050.0
157,Mahalakshmi Layout,4.0,4,3750.0
158,other,2.0,3,1350.0
159,Hosa Road,2.0,2,1063.0
160,other,3.0,3,1904.0
161,Whitefield,4.0,4,4200.0
162,other,3.0,3,2000.0
163,Sarjapur,2.0,2,1242.5
164,other,2.0,3,1425.0
165,Electronic City,2.0,3,1500.0
166,Electronic City,2.0,2,1060.0
167,other,2.0,3,1470.0
169,Attibele,1.0,1,450.0
170,Electronic City,2.0,2,1152.0
171,Electronic City,2.0,3,1350.0
172,CV Raman Nagar,3.0,3,1550.0
173,other,3.0,3,1500.0
175,Nagavara,1.0,1,400.0
176,Malleshwaram,1.0,1,705.0
177,Electronic City,1.0,2,770.0
178,Hulimavu,2.0,2,1242.0
179,Hebbal Kempapura,3.0,3,1700.0
180,Thanisandra,3.0,3,2144.0
181,Vijayanagar,3.0,3,1704.0
182,Electronic City,2.0,2,1070.0
183,other,3.0,3,1846.0
184,other,2.0,2,1340.0
185,Electronic City,2.0,2,1025.0
186,KR Puram,2.0,2,1277.5
187,Marathahalli,2.0,2,1200.0
188,Kanakpura Road,4.0,4,2250.0
189,Pattandur Agrahara,2.0,3,1550.0
190,Bellandur,5.0,4,1200.0
192,Marathahalli,2.0,2,1200.0
193,Yelahanka,2.0,2,1327.0
194,Kothanur,2.0,2,1186.0
195,other,3.0,3,1783.0
196,HSR Layout,3.0,3,1400.0
197,Nagasandra,2.0,2,980.0
198,EPIP Zone,2.0,2,1285.0
199,other,2.0,3,912.0
200,Whitefield,2.0,2,1225.0
201,Whitefield,2.0,2,1075.0
202,Kadugodi,2.0,3,1260.0
203,Yelahanka,2.0,3,1282.0
204,Kogilu,3.0,3,1909.0
205,Panathur,2.0,2,1359.0
206,other,2.0,2,1207.0
207,Padmanabhanagar,6.0,4,1736.0
208,1st Block Jayanagar,4.0,4,2850.0
209,Kammasandra,3.0,3,1595.0
210,other,3.0,3,1798.0
211,Electronics City Phase 1,3.0,3,1475.0
212,other,3.0,3,1580.0
213,Dasarahalli,2.0,2,1295.0
214,Magadi Road,6.0,6,3600.0
215,Electronic City,1.0,1,589.0
216,other,3.0,3,1415.0
217,Sarjapur  Road,3.0,3,1787.0
218,Sarjapur  Road,3.0,3,1787.0
219,Koramangala,2.0,3,1475.0
220,other,4.0,4,2000.0
221,Sarjapur  Road,2.0,2,984.0
222,other,4.0,3,2405.0
223,7th Phase JP Nagar,2.0,2,1080.0
224,other,2.0,2,1500.0
225,Hebbal,3.0,3,1900.0
226,Dommasandra,2.0,2,805.0
227,Budigere,2.0,2,1153.0
228,other,2.0,2,1148.0
229,other,2.0,2,1110.0
230,Electronic City,2.0,2,1100.0
231,Kalyan nagar,2.0,2,1290.0
232,other,2.0,3,1500.0
233,other,2.0,2,1080.0
234,Vijayanagar,3.0,3,1933.0
235,Ramamurthy Nagar,5.0,5,3500.0
236,other,2.0,2,1060.0
237,Chandapura,1.0,1,645.0
238,other,8.0,8,2600.0
239,Chandapura,1.0,1,645.0
240,other,3.0,3,1644.0
241,other,2.0,2,1285.0
242,Electronic City,3.0,3,1200.0
243,Electronic City,2.0,2,910.0
244,Kothanur,3.0,3,1577.0
245,other,3.0,3,4050.0
246,OMBR Layout,3.0,3,2420.0
247,Chandapura,1.0,2,800.0
248,other,2.0,2,1060.0
249,7th Phase JP Nagar,2.0,2,1270.0
250,other,2.0,2,900.0
251,other,2.0,2,1280.0
252,Horamavu Agara,2.0,4,1200.0
253,Sarjapur  Road,2.0,2,1025.0
254,Electronic City,2.0,2,1108.0
256,other,3.0,3,3045.0
257,Ambedkar Nagar,3.0,4,2900.0
258,Vijayanagar,3.0,3,1500.0
259,Raja Rajeshwari Nagar,2.0,2,1295.0
260,Budigere,2.0,2,1162.0
261,Sarjapur  Road,2.0,2,1035.0
262,Attibele,4.0,4,1600.0
263,other,3.0,3,1464.0
264,Hennur Road,2.0,3,1866.0
265,other,1.0,2,700.0
266,Kalena Agrahara,3.0,3,1804.0
267,Sarjapur,2.0,2,913.0
268,Talaghattapura,3.0,3,1868.0
269,Kengeri Satellite Town,2.0,2,883.0
270,other,2.0,2,900.0
271,Kogilu,2.0,3,1664.0
272,Hegde Nagar,3.0,3,2026.0
273,Balagere,2.0,2,1210.0
274,other,4.0,4,4111.0
275,Kadugodi,3.0,3,1762.0
276,Jigani,3.0,3,1252.0
